SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			开机能耗		开机时延		关机能耗		关机时延
3		5.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   8.00000       8.000      0.00000       0.000
4		2.428571		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000       0.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   3.00000       3.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   4.00000       4.000      0.00000       0.000
7		2.857143		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   5.00000       5.000      0.00000       0.000
8		1.750000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   0.00000		   8.00000       8.000      0.00000       0.000
4		2.285714		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000		   0.00000       0.000      0.00000       0.000
5		0.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   0.00000		   3.00000       3.000      0.00000       0.000
6		1.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   0.00000		   4.00000       4.000      0.00000       0.000
7		1.428571		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   0.00000		   5.00000       5.000      0.00000       0.000
8		5.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   0.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.000000		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   3.00000		   8.00000       8.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		  15.00000		   0.00000       0.000      0.00000       0.000
5		2.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		  30.00000		   3.00000       3.000      0.00000       0.000
6		2.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		  48.00000		   4.00000       4.000      0.00000       0.000
7		4.000000		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		  55.00000		   5.00000       5.000      0.00000       0.000
8		2.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		  63.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		  63.00000		   0.00000       0.000      0.00000       0.000
6		0.779000		    1.0000		    0.0000		   -1		  294.8360		   86.7280		  208.1080		7960.00000		   2.00000		   2.00000       2.000      0.00000       0.000
7		0.607000		    1.0000		    0.0000		   -1		  336.7350		  101.4330		  235.3020		9395.00000		   0.00000		   2.00000       2.000      0.00000       0.000
8		1.265797		    0.9970		    0.0030		   54		  372.3089		  114.7673		  257.5416		10479.00000		   0.00000		   1.00000       1.000      0.00000       0.000
9		0.829947		    0.9350		    0.0650		   13		  414.7102		  130.5615		  284.1487		11017.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		0.915836		    0.9030		    0.0970		   19		  452.4053		  145.8582		  306.5471		11988.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		1.014349		    0.9060		    0.0940		    9		  495.9382		  159.7704		  336.1678		13190.00000		   0.00000		   2.00000       2.000      0.00000       0.000
12		1.567627		    0.9020		    0.0980		   13		  533.5942		  173.9933		  359.6009		14007.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		1.370824		    0.8980		    0.1020		    8		  575.0880		  188.3564		  386.7316		14681.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.782000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 350.00000		   9.00000       9.000      0.00000       0.000
4		0.573000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		   0.00000       0.000      0.00000       0.000
5		0.815000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		   1.00000       1.000      0.00000       0.000
6		0.861000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		   1.00000       1.000      0.00000       0.000
7		0.658000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  63.00000		   2.00000       2.000      0.00000       0.000
8		0.834000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		   1.00000       1.000      0.00000       0.000
9		1.180180		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		   1.00000       1.000      0.00000       0.000
10		0.801404		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.800601		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		0.979940		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.254509		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.572000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 350.00000		   9.00000       9.000      0.00000       0.000
4		0.548000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		   0.00000       0.000      0.00000       0.000
5		0.571000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		   1.00000       1.000      0.00000       0.000
6		0.670000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		   1.00000       1.000      0.00000       0.000
7		0.547000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  63.00000		   2.00000       2.000      0.00000       0.000
8		0.827000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		   1.00000       1.000      0.00000       0.000
9		1.043043		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		   1.00000       1.000      0.00000       0.000
10		0.872618		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.908818		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		0.947844		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.000000		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
4		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
7		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
8		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
11		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.721000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 350.00000		   9.00000       9.000      0.00000       0.000
4		0.563000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		   0.00000       0.000      0.00000       0.000
5		0.628000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		   1.00000       1.000      0.00000       0.000
6		0.721000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		   1.00000       1.000      0.00000       0.000
7		0.537000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  63.00000		   2.00000       2.000      0.00000       0.000
8		0.834000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		   1.00000       1.000      0.00000       0.000
9		1.009009		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		   1.00000       1.000      0.00000       0.000
10		0.886660		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.986974		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		1.046138		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.038076		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.634000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 185.00000		 193.00000     193.000    165.00000     165.000
4		0.482000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		  66.00000      66.000      0.00000       0.000
5		0.551000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		  61.00000      61.000      0.00000       0.000
6		0.688000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		  64.00000      64.000      0.00000       0.000
7		0.605000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  48.00000		  50.00000      50.000     15.00000      15.000
8		0.643000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		  51.00000      51.000      0.00000       0.000
9		0.980981		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		  22.00000      22.000      0.00000       0.000
10		0.873621		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.882766		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		0.934804		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.048096		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.702000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 350.00000		   9.00000       9.000      0.00000       0.000
4		0.569000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		   0.00000       0.000      0.00000       0.000
5		0.683000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		   1.00000       1.000      0.00000       0.000
6		0.756000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		   1.00000       1.000      0.00000       0.000
7		0.678000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  63.00000		   2.00000       2.000      0.00000       0.000
8		1.055000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		   1.00000       1.000      0.00000       0.000
9		1.079079		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		   1.00000       1.000      0.00000       0.000
10		0.935807		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.908818		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		1.129388		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.159319		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.643000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 350.00000		   9.00000       9.000      0.00000       0.000
4		0.558000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		   0.00000       0.000      0.00000       0.000
5		0.694000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		   1.00000       1.000      0.00000       0.000
6		0.691000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		   1.00000       1.000      0.00000       0.000
7		0.759000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  63.00000		   2.00000       2.000      0.00000       0.000
8		0.633000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		   1.00000       1.000      0.00000       0.000
9		1.075075		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		   1.00000       1.000      0.00000       0.000
10		0.944835		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.864729		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		0.874624		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.053106		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.749000		    1.0000		    0.0000		   -1		  163.6910		   43.2630		  120.4280		5134.00000		 196.00000		   9.00000       9.000      0.00000       0.000
4		0.657000		    1.0000		    0.0000		   -1		  208.3260		   57.1270		  151.1990		6590.00000		  46.00000		   1.00000       1.000      0.00000       0.000
5		0.852000		    1.0000		    0.0000		   -1		  254.5520		   72.2150		  182.3370		6956.00000		   0.00000		   1.00000       1.000      0.00000       0.000
6		0.809000		    1.0000		    0.0000		   -1		  294.8360		   86.7280		  208.1080		7960.00000		   2.00000		   2.00000       2.000      0.00000       0.000
7		0.658000		    1.0000		    0.0000		   -1		  336.7350		  101.4330		  235.3020		9395.00000		   0.00000		   2.00000       2.000      0.00000       0.000
8		1.199599		    0.9970		    0.0030		   54		  372.3089		  114.7673		  257.5416		10479.00000		   0.00000		   1.00000       1.000      0.00000       0.000
9		0.920856		    0.9350		    0.0650		   13		  414.7102		  130.5615		  284.1487		11017.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		0.816168		    0.9030		    0.0970		   19		  452.4053		  145.8582		  306.5471		11988.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		1.036424		    0.9060		    0.0940		    9		  495.9382		  159.7704		  336.1678		13190.00000		   0.00000		   2.00000       2.000      0.00000       0.000
12		1.779379		    0.9020		    0.0980		   13		  533.5942		  173.9933		  359.6009		14007.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		1.116927		    0.8980		    0.1020		    8		  575.0880		  188.3564		  386.7316		14681.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.733000		    1.0000		    0.0000		   -1		  163.9120		   44.0410		  119.8710		5070.00000		 242.00000		   9.00000       9.000      0.00000       0.000
4		0.516000		    1.0000		    0.0000		   -1		  209.5160		   58.0070		  151.5090		6562.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		0.485000		    1.0000		    0.0000		   -1		  250.4380		   72.3850		  178.0530		7130.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		0.936000		    1.0000		    0.0000		   -1		  290.7520		   86.4910		  204.2610		7901.00000		  25.00000		   3.00000       3.000     48.00000      48.000
7		0.546000		    1.0000		    0.0000		   -1		  333.9500		  102.3310		  231.6190		9468.00000		   4.00000		   0.00000       0.000      0.00000       0.000
8		0.657000		    1.0000		    0.0000		   -1		  370.5560		  115.2500		  255.3060		10556.00000		 104.00000		   3.00000       3.000      0.00000       0.000
9		1.226358		    0.9940		    0.0060		   48		  411.9346		  130.3873		  281.5473		11732.00000		   0.00000		   1.00000       1.000      0.00000       0.000
10		1.021429		    0.9800		    0.0200		   93		  450.9980		  145.4469		  305.5510		12924.00000		   0.00000		   0.00000       0.000      0.00000       0.000
11		1.039877		    0.9780		    0.0220		   15		  490.9417		  160.0716		  330.8701		14173.00000		   0.00000		   3.00000       3.000      0.00000       0.000
12		1.080285		    0.9840		    0.0160		   11		  531.0844		  174.0274		  357.0569		14991.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		1.398374		    0.9840		    0.0160		   48		  564.4746		  187.7165		  376.7581		15913.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.898000		    1.0000		    0.0000		   -1		  164.8640		   43.1720		  121.6920		5118.00000		 374.00000		   9.00000       9.000      0.00000       0.000
4		0.524000		    1.0000		    0.0000		   -1		  203.8010		   58.2030		  145.5980		6258.00000		  41.00000		   0.00000       0.000      0.00000       0.000
5		0.635000		    1.0000		    0.0000		   -1		  244.3210		   72.4000		  171.9210		7149.00000		  14.00000		   1.00000       1.000      0.00000       0.000
6		0.741000		    1.0000		    0.0000		   -1		  286.6830		   87.5780		  199.1050		7983.00000		 171.00000		   0.00000       0.000      0.00000       0.000
7		0.808000		    1.0000		    0.0000		   -1		  331.3560		  102.0570		  229.2990		9533.00000		   5.00000		   1.00000       1.000     17.00000      17.000
8		0.977000		    1.0000		    0.0000		   -1		  362.0620		  115.4270		  246.6350		10390.00000		  81.00000		   2.00000       2.000     14.00000      14.000
9		0.967000		    1.0000		    0.0000		   -1		  402.5430		  130.2690		  272.2740		11451.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		0.852000		    1.0000		    0.0000		   -1		  443.1200		  144.5610		  298.5590		13037.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		1.005000		    1.0000		    0.0000		   -1		  480.8880		  160.2510		  320.6370		14133.00000		   0.00000		   1.00000       1.000      0.00000       0.000
12		0.786000		    1.0000		    0.0000		   -1		  521.6710		  175.5970		  346.0740		15079.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.050000		    1.0000		    0.0000		   -1		  557.4870		  187.8770		  369.6100		15859.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.573600		    1.0000		    0.0000		   -1		  162.2604		   43.2875		  118.9729		51587.00000		3761.00000		  10.00000      10.000      0.00000       0.000
4		0.707900		    1.0000		    0.0000		   -1		  206.2518		   58.0007		  148.2511		62850.00000		 480.00000		   0.00000       0.000      0.00000       0.000
5		0.677600		    1.0000		    0.0000		   -1		  244.4349		   72.6650		  171.7699		72871.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		0.614600		    1.0000		    0.0000		   -1		  285.3309		   86.8698		  198.4611		81616.00000		 544.00000		   1.00000       1.000      0.00000       0.000
7		0.674400		    1.0000		    0.0000		   -1		  330.0001		  101.3603		  228.6398		95215.00000		 639.00000		   1.00000       1.000      0.00000       0.000
8		0.724700		    1.0000		    0.0000		   -1		  366.1414		  116.1696		  249.9718		105514.00000		 145.00000		   2.00000       2.000      0.00000       0.000
9		0.693800		    1.0000		    0.0000		   -1		  405.2750		  130.4391		  274.8359		114786.00000		   0.00000		   1.00000       1.000      0.00000       0.000
10		0.709200		    1.0000		    0.0000		   -1		  445.6315		  145.1422		  300.4893		130583.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.872174		    0.9998		    0.0002		 3656		  481.0948		  158.8198		  322.2751		141841.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		0.939200		    1.0000		    0.0000		 3656		  519.7578		  173.9578		  345.8000		151253.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		0.847970		    0.9998		    0.0002		 4057		  557.4050		  188.5289		  368.8761		159279.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		1.564269		    0.9997		    0.0003		 1346		  151.0110		   43.2882		  107.7228		68119.00000		4306.00000		  20.00000      20.000      0.00000       0.000
4		1.535836		    0.9990		    0.0010		  492		  193.0257		   58.0046		  135.0211		86394.00000		 505.00000		   0.00000       0.000      0.00000       0.000
5		9.050544		    0.9833		    0.0167		  766		  237.3088		   72.5526		  164.7561		94345.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		15.365391		    0.9431		    0.0569		  156		  280.5160		   86.6707		  193.8453		95524.00000		1508.00000		   0.00000       0.000      0.00000       0.000
7		19.589128		    0.8628		    0.1372		   85		  325.2202		  100.6340		  224.5862		101135.00000		   0.00000		   0.00000       0.000      0.00000       0.000
8		24.092213		    0.7808		    0.2192		   54		  369.2262		  115.5727		  253.6534		96263.00000		   0.00000		   0.00000       0.000      0.00000       0.000
9		24.693378		    0.7762		    0.2238		   69		  411.5568		  129.7815		  281.7753		102605.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		22.475412		    0.7402		    0.2598		   33		  452.5938		  144.5907		  308.0031		104903.00000		   0.00000		   0.00000       0.000      0.00000       0.000
11		20.401730		    0.6706		    0.3294		   15		  493.6686		  158.1724		  335.4963		103340.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		17.274873		    0.6694		    0.3306		   21		  537.7595		  173.3930		  364.3665		108979.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		14.408154		    0.6353		    0.3647		   13		  579.2682		  188.1292		  391.1390		106309.00000		   0.00000		   0.00000       0.000      0.00000       0.000
